descripcion,categoria
Guión de una obra de teatro,Derecho de Autor
Artículo académico sobre física cuántica,Derecho de Autor
Libro sobre fundamentos de inteligencia artificial,Derecho de Autor
Artículo académico sobre física cuántica,Derecho de Autor
Canción original de rock alternativo,Derecho de Autor
Video educativo sobre matemáticas,Derecho de Autor
Código fuente de una aplicación de escritorio,Derecho de Autor
Guión de una obra de teatro,Derecho de Autor
Video educativo sobre matemáticas,Derecho de Autor
Artículo académico sobre física cuántica,Derecho de Autor
Diseño gráfico para una campaña social,Derecho de Autor
Artículo académico sobre física cuántica,Derecho de Autor
Manual de usuario para aplicación móvil,Derecho de Autor
Manual de usuario para aplicación móvil,Derecho de Autor
Libro sobre fundamentos de inteligencia artificial,Derecho de Autor
Documentación técnica de un sistema,Derecho de Autor
Artículo académico sobre física cuántica,Derecho de Autor
Manual de usuario para aplicación móvil,Derecho de Autor
Documentación técnica de un sistema,Derecho de Autor
Guión de una obra de teatro,Derecho de Autor
Video educativo sobre matemáticas,Derecho de Autor
Diseño gráfico para una campaña social,Derecho de Autor
Canción original de rock alternativo,Derecho de Autor
Manual de usuario para aplicación móvil,Derecho de Autor
Canción original de rock alternativo,Derecho de Autor
Imagen corporativa usada en publicidad exterior,Marca
Marca sonora para un comercial de televisión,Marca
Tipografía exclusiva de una marca de bebidas,Marca
Marca sonora para un comercial de televisión,Marca
Color característico en un empaque de snacks,Marca
Frase pegajosa usada en campañas de publicidad,Marca
Marca sonora para un comercial de televisión,Marca
Marca sonora para un comercial de televisión,Marca
Tipografía exclusiva de una marca de bebidas,Marca
Nombre comercial para una tienda de tecnología,Marca
Imagen corporativa usada en publicidad exterior,Marca
Frase pegajosa usada en campañas de publicidad,Marca
Nombre comercial para una tienda de tecnología,Marca
Tipografía exclusiva de una marca de bebidas,Marca
Frase pegajosa usada en campañas de publicidad,Marca
Color característico en un empaque de snacks,Marca
Diseño de empaque para productos cosméticos,Marca
Color característico en un empaque de snacks,Marca
Logotipo único usado para identificar productos,Marca
Color característico en un empaque de snacks,Marca
Nombre comercial para una tienda de tecnología,Marca
Nombre comercial para una tienda de tecnología,Marca
Color característico en un empaque de snacks,Marca
Marca sonora para un comercial de televisión,Marca
Diseño de empaque para productos cosméticos,Marca
Tecnología para convertir energía solar en calor,Patente
Innovador método de fabricación de concreto,Patente
Mecanismo de cierre para botellas reutilizables,Patente
Tecnología para convertir energía solar en calor,Patente
Proceso químico para la purificación de agua,Patente
Mecanismo de cierre para botellas reutilizables,Patente
Algoritmo de compresión de imágenes sin pérdida,Patente
Sistema de refrigeración para vehículos eléctricos,Patente
Innovador método de fabricación de concreto,Patente
Sistema de refrigeración para vehículos eléctricos,Patente
Nuevo tipo de batería recargable de litio,Patente
Proceso químico para la purificación de agua,Patente
Innovador método de fabricación de concreto,Patente
Tecnología para convertir energía solar en calor,Patente
Algoritmo de compresión de imágenes sin pérdida,Patente
Mecanismo de cierre para botellas reutilizables,Patente
Método para mejorar la eficiencia de un motor,Patente
Tecnología para convertir energía solar en calor,Patente
Algoritmo de compresión de imágenes sin pérdida,Patente
Sistema automatizado para el riego agrícola,Patente
Tecnología para convertir energía solar en calor,Patente
Dispositivo portátil para medir glucosa,Patente
Sistema de refrigeración para vehículos eléctricos,Patente
Proceso químico para la purificación de agua,Patente
Mecanismo de cierre para botellas reutilizables,Patente
Diseño tridimensional de una botella para perfume,Diseño Industrial
Diseño tridimensional de una botella para perfume,Diseño Industrial
Estilo visual de una consola de videojuegos,Diseño Industrial
Diseño innovador de una bicicleta urbana,Diseño Industrial
Diseño vanguardista de una aspiradora portátil,Diseño Industrial
Diseño vanguardista de una aspiradora portátil,Diseño Industrial
Estilo visual de una consola de videojuegos,Diseño Industrial
Forma ergonómica de una silla de oficina,Diseño Industrial
Forma ergonómica de una silla de oficina,Diseño Industrial
Modelo de lámpara con estilo contemporáneo,Diseño Industrial
Diseño de una carcasa para teléfono móvil,Diseño Industrial
Diseño de una carcasa para teléfono móvil,Diseño Industrial
Aspecto decorativo de una mesa de comedor,Diseño Industrial
Diseño vanguardista de una aspiradora portátil,Diseño Industrial
Forma ergonómica de una silla de oficina,Diseño Industrial
Forma ergonómica de una silla de oficina,Diseño Industrial
Diseño vanguardista de una aspiradora portátil,Diseño Industrial
Forma ergonómica de una silla de oficina,Diseño Industrial
Diseño de una carcasa para teléfono móvil,Diseño Industrial
Diseño tridimensional de una botella para perfume,Diseño Industrial
Diseño innovador de una bicicleta urbana,Diseño Industrial
Figura estética de una cafetera de acero inoxidable,Diseño Industrial
Diseño ornamental para un reloj de pulsera,Diseño Industrial
Diseño ornamental para un reloj de pulsera,Diseño Industrial
Diseño vanguardista de una aspiradora portátil,Diseño Industrial
