descripcion,categoria
"se refiere a una composicion que uncluye las siguientes fracciones: a) una fraccion prebiotica seleccionada entre pulpa de raiz de yacon, extracto de ",Patente
"se refiere a compuestos derivados de ftalazinona de formula (i) donde a y b juntos forman un anillo benceno opcionalmente sustituido con halo, nh2 o a",Patente
"referida a un derivado de gamma-lactona del acido 15,16-metilen-17-hidroxi-19-nor-17-pregna-4,20(z)-dien-3-ona-21-carboxilico de formula (i), donde z ",Patente
"referida a un compuesto derivado de azolilmetiloxirano de formula (i), donde a es fenilo sustituido con f y opcionalmente sustituido con l; b es fenil",Patente
"referido a un compuesto derivado de 1,2,4-triazol amino de formula i, donde x es (a), (b), entre otros, r1 es metil, halogeno o ciano, r2 es h o fluor",Patente
se refiere a un virus arn oncolitico recombinante de la enfermedad de newcastle que se obtiene de un virus de arn de la enfermedad de newcastle oncoli,Patente
"que consiste en: a) aplicar el reactivo a base de cristales de nh2s03h (r-sol) al mineral, sea en la pila de minerales gruesos, asi como al mineral fi",Patente
referida a un procedimiento para la fabricacion de un compuesto de formula (iva) que comprende remover los grupos protectores r2 y pg de un compuesto ,Patente
"referida a un derivado de gamma-lactona del esteroide del acido 17-hidroxi-19-nor-21-carboxilico de formula (i), donde z es oxigeno, h, nor', nnhso2r'",Patente
"referida a un gel estable hidrofilo para aplicacion topica que contiene quitosano en una proporcion entre 2% y 8%, una o mas sustancias restauradoras ",Patente
"se refiere a un proceso para la preparacion de un compuesto de formula (7) donde r1 es h o un grupo protector de n; r6 y r7 son cada uno alquilo, aril",Patente
"se refiere a un metodo para preparar acido montelukast, que comprende: acoplar un compuesto de tiol de formula (2) con un montelukast intermedio de fo",Patente
"se refiere a compuestos heterociclicos de formulas (i), (ii), (iii) y (iv) donde x es o, nr8 o cr9r9', en donde r8 es h, alquilo(c1-c10), sulfonilalqu",Patente
se refiere a una composicion farmaceutica que comprende un polvo para suspension oral que contiene: a) tacrolimus; b) un tamponante tal como acido cit,Patente
"referida a una sal monomaleato monohidrato de 7-metil-6-{2-[4-(2-metil-5-quinolinil)-1-piperazinil]etil}-4,5-dihidroimidazo[1,5-a]quinolin-3-carboxami",Patente
"referida a un derivado radiohalogenado de benzamida de formula (i), donde nx7x8 es el grupo nh-(2-dietilamino-etil); x1 es alcoxi c1-c4 opcionalmente ",Patente
referida a un polipeptido que comprende un fragmento de semaforina sema3e quimerico que carece del primer sitio de escision de furina y que comprende ,Patente
se refiere a una composicion plaguicida que comprende un portador liquido o solido y una mezcla que contiene: a) un compuesto insecticida agonista/ant,Patente
"referido a anticuerpos humanizados o fragmentos de anticuerpo, que se unen a il-4 o a il-13, que comprenden una cadena ligera variable de sec id nº 3 ",Patente
"referido a un compuesto de de formula i, donde x es cr4 o n, donde r4 es h, oh y alcoxilo c1-c3, r1 es arilo, heterociclilo, alquilo c1-c7, entre otro",Patente
se refiere a una sal n-[4-(3-amino-1h-indazol-4-il)fenil]-n'-(2-fluoro-5-metilfenil)urea hidrato que tiene un patron de difraccion de rayos x de polvo,Patente
"referido a un compuesto de formula 1, en donde x es so o so2, r1 es h y alquilo c1-6, r2 es h, alquilo c1-10 y alquenilo c2-6, eventualmente sustituid",Patente
"referido a un proceso para producir un compuesto de formula (iia´), o sales del mismo que comprende: a) hacer reaccionar, en presencia de un acido de ",Patente
se refiere a una composicion farmaceutica que comprende: a) complejo supramolecular propionato-(s)-3'-metil-2'-(pentanoil-{2''-(tetrazol-5-ilato)-bife,Patente
"referido a una composicion farmaceutica que comprende: a) un compuesto seleccionado de metil ester de acido ((1s,2r,3s,4r)-4-{6-(2,2-difenil-etilamino",Patente
"se refiere a compuestos derivados de pirimidin-4-ilmetil-sulfonamida de formula (i) donde ra es halogeno, cn, nh2, no2, entre otros; r es h, alquilo(c",Patente
"se refiere a compuestos biciclicos que contienen n de formula (i) donde r es h, alquilo(c1-c6), cf3 o arilo; y es ch2 o c=o; x es un enlace, c=o, so2 ",Patente
"referida a una composicion de cuidado bucal que comprende: a) un aminoacido basico en forma de sal o libre tal como arginina, fosfato de arginina, bic",Patente
"referida al compuesto solido o cristalino (-) acido 2-[1-(7-metil-2-morfolin-4-il)-4-oxo-4h-pirido[1,2-a]pirimidin-9-il)etilamino]benzoico que tiene p",Patente
referida a un polipeptido de fusion que comprende: a) un polipeptido que comprende cuando menos dos dominios extracelulares de una proteina klotho kl-,Patente
"se refiere a un compuesto de formula i, donde r4 es h, halogeno, -cn, -oh, alquilo c1-c4, alcoxi c1-c4, entre otros; r5 es h, halogeno, -cn, -no2, -oh",Patente
"referido a un compuesto de formula i, donde r1 es nh2, arilo de 6-14 miembros, cicloalquilo c3-c8, entre otros; r2 y r3 son cada uno h, halogeno, alqu",Patente
"referida a una composicion farmaceutica que comprende: a) una sal de bistiazolio seleccionada entre dibromuro de 1,12-dodecametilenobis[4-metil-5-(2-h",Patente
"se refiere a una composicion plaguicida que comprende: a) un compuesto de formula (i), donde r4 es ch3, chf2, cf3; r5 es h, f; m es tienilo o fenilo o",Patente
"refiere una composicion plaguicida que comprende: a) un compuesto insecticida agonista/antagonista de receptores nicotinicos tales como acetamiprid, c",Patente
"referida a un compuesto derivado de formula (i) donde w1 es cr1, nr1; w3 es cr3, nr3; r1 y r3 son cada uno ausentes o son h, halo, alquilo, entre otro",Patente
se refiere a una composicion farmaceutica con un sistema de liberacion que contiene: a) un nucleo que comprende i) flibanserina en su forma cristalina,Patente
"referida a compuestos derivados de acido de carboxicicloalquilamino de formula (i). son compuestos preferidos: (a), (b), entre otros. se refiere tambi",Patente
"referido a un anticuerpo monoclonal anti hgm-csf o fragmento de union al antigeno del mismo, que se une especificamente a un epitopo de hgm-csf (sec i",Patente
"se refiere a una composicion farmaceutica derivado de azetidina que contiene un compuesto de formula (i), donde ar es grupo aromatico o heteroaromatic",Patente
se refiere a una composicion farmaceutica que contiene: a) un polimero de acido hialuronico o sus sales de na y k que se encuentra en una cantidad de ,Patente
"referido a un compuesto de formula i, donde r1 es -cn, -ocf3, halogeno, entre otros, opcionalmente sustituido con halogeno o alquilo c1-3, r2 es h, ci",Patente
"se refiere a derivados de ciclopropilamina de formula (i), donde uno de r1 y r2 es -l2-r6a-l3-r6b, o el otro r1 y r2 es h, alquilo, alcoxi, halogeno, ",Patente
se refiere a compuestos derivados de azetidinas de formula (i) donde r es alquilo(c1-c6) o haloalquilo(c1-c6); r1 es h o alquilo(c1-c6); r2 es alquilo,Patente
"se refiere a una composicion farmaceutica que contiene: a) un compuesto de formula (i) donde z, z1, z2, z3, z4 y z5 son cada uno c o n; r1 esta ausent",Patente
"se refiere a compuestos heterociclicos de formula (i) donde y es o, s, cr3r4, entre otros; x es o, s, cr6r7, entre otros, donde r3, r4, r6 y r7 son ca",Patente
referido a un metodo para purificar anticuerpos a partir de una composicion que comprende el anticuerpo y al menos un contaminante tal como proteinas ,Patente
"referida a un derivado de indol de formula (e), donde r1 es h, oh, nitro, ciano, halo, entre otros; r2a y r2b son h, alquilo c1-c8, oh, ciano, entre o",Patente
"referida a un derivado de sulfonamida de formula (i), donde m y n son un entero de 0 a 2; p es 1 o 2; q es un atomo de oxigeno o ch2; x es n o cr5; y ",Patente
"referida a un compuesto triciclico de formula (i'), donde x es n o crx; rx es h o alquilo c1-c9; r1 es nitro, halogeno, ciano, entre otros; r2 es acil",Patente
"referida a compuestos derivados de bis-(sulfonilamino) de formula (i), donde a es aril mono y biciclico, heteroaril mono y biciclico, cicloalquenil, e",Patente
"referido a un compuesto derivado de indolina de formula (i), donde r1 es h o ci-ch2-co, r2 y r3 son cada uno h o juntos representan un grupo de formul",Patente
"referido a mezclas fungicidas que tienen componentes activos tales como 1) azolilmetiloxiranos de formula i, donde a es fenilo sustituido con dos f, b",Patente
"referido a derivados de piridilmetil-sulfonamida de formula (i), donde n y m indica la cantidad de sustituyentes r1 y r3 respectivamente y son cada un",Patente
"se refiere a una proteina terapeutica de union a antigenos que reconoce un epitopo de peptido beta-amiloide, que contiene los restos 28-35 de beta-ami",Patente
"referido a compuestos de imidazol de formula i, donde r1 es amino-acilo, acil-amino, carboxilo entre otros; r2 es h, alquilo y arilo; ra es l-a1, dond",Patente
"referido a un compuesto de formula (i), donde r1, r2, r3, r4 y r5 son cada uno h, halogeno, ciano, entre otros, x1 es -o-, -c(o)-, -s-, entre otros, x",Patente
